3.190000000000000213e+01,6.580000000000005400e+01,9.770000000000005969e+01
6.700000000000000178e+00,1.540000000000001279e+01,2.210000000000001208e+01
8.860000000000000853e+01,1.792000000000001592e+02,2.678000000000001819e+02
7.980000000000001137e+01,1.616000000000001364e+02,2.414000000000001478e+02
4.200000000000000178e+00,1.040000000000000746e+01,1.460000000000000853e+01
6.900000000000000355e+00,1.580000000000001137e+01,2.270000000000000995e+01
7.200000000000000000e+01,1.460000000000001137e+02,2.180000000000001137e+02
8.890000000000000568e+01,1.798000000000001535e+02,2.687000000000001592e+02
4.760000000000000142e+01,9.720000000000008811e+01,1.448000000000000966e+02
3.060000000000000142e+01,6.320000000000005258e+01,9.380000000000005400e+01
3.080000000000000071e+01,6.360000000000005116e+01,9.440000000000004832e+01
3.880000000000000426e+01,7.960000000000006537e+01,1.184000000000000625e+02
3.800000000000000266e+00,9.600000000000006750e+00,1.340000000000000746e+01
1.000000000000000056e-01,2.200000000000000178e+00,2.300000000000000266e+00
7.360000000000000853e+01,1.492000000000001307e+02,2.228000000000001251e+02
9.510000000000000853e+01,1.922000000000001592e+02,2.873000000000001819e+02
1.030000000000000071e+01,2.260000000000001918e+01,3.290000000000001990e+01
5.300000000000000000e+01,1.080000000000000995e+02,1.610000000000001137e+02
9.810000000000000853e+01,1.982000000000001876e+02,2.963000000000001819e+02
5.150000000000000000e+01,1.050000000000000853e+02,1.565000000000000853e+02
6.640000000000000568e+01,1.348000000000001251e+02,2.012000000000001307e+02
5.010000000000000142e+01,1.022000000000000881e+02,1.523000000000000966e+02
5.510000000000000142e+01,1.122000000000001023e+02,1.673000000000000966e+02
8.500000000000000000e+00,1.900000000000001421e+01,2.750000000000001421e+01
2.250000000000000000e+01,4.700000000000004263e+01,6.950000000000004263e+01
8.880000000000001137e+01,1.796000000000001648e+02,2.684000000000002046e+02
9.950000000000000000e+01,2.010000000000001705e+02,3.005000000000001705e+02
5.600000000000000533e+00,1.320000000000000995e+01,1.880000000000001137e+01
1.769999999999999929e+01,3.740000000000003411e+01,5.510000000000003695e+01
1.800000000000000044e+00,5.600000000000003197e+00,7.400000000000003020e+00
9.190000000000000568e+01,1.858000000000001535e+02,2.777000000000001592e+02
6.040000000000000568e+01,1.228000000000001108e+02,1.832000000000001023e+02
9.430000000000001137e+01,1.906000000000001648e+02,2.849000000000002046e+02
7.190000000000000568e+01,1.458000000000001251e+02,2.177000000000001307e+02
2.970000000000000284e+01,6.140000000000005542e+01,9.110000000000005116e+01
4.960000000000000142e+01,1.012000000000000881e+02,1.508000000000000966e+02
6.100000000000000533e+00,1.420000000000000995e+01,2.030000000000001137e+01
8.250000000000000000e+01,1.670000000000001421e+02,2.495000000000001421e+02
9.270000000000000284e+01,1.874000000000001762e+02,2.801000000000001933e+02
5.310000000000000142e+01,1.082000000000000881e+02,1.613000000000000966e+02
4.380000000000000426e+01,8.960000000000007958e+01,1.334000000000000909e+02
